
$c_start 测试$c_end
测试,#genre#





$c_start 新闻$c_end
新闻,#genre#

CCTV13,http://39.135.138.60:18890/TVOD/88888910/224/3221225638/index.m3u8
北京新聞,http://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?
北京新聞,http://hsplay-360.v.btime.com/live_btime/btv_sn_20170706_s9/index.m3u8?time=.
凤凰资讯,http://59.44.10.116:9901/tsfile/live/1021_1.m3u8
凤凰香港,http://59.44.10.116:9901/tsfile/live/1023_1.m3u8
凤凰资讯,http://59.44.10.113:9901/tsfile/live/1078_1.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
无线新闻台,http://ye23.win/iptv/tvb.php?id=1
HKC有线新闻台,rtmp://v3948069e.live.126.net/live/8ad6da5302022e3a8b67ccc9848614e/ggbox/index
CNN,https://cnn-cnninternational-1-gb.samsung.wurl.com/manifest/playlist_1280x720_3000k.m3u8
euronews,http://d8380c4177d6.sn.mynetname.net:25461/demo/demo/43
BBC World News HD,http://103.199.161.254/Content/bbcworld/Live/Channel(BBCworld)/index.m3u8
France24,http://static.france24.com/live/F24_EN_LO_HLS/live_web.m3u8
FOX NewsNOW,http://fox-foxnewsnow-samsungus.amagi.tv/playlist.m3u8
NBC NEWS FHD,https://nbcnews2.akamaized.net/hls/live/723426/NBCNewsPlaymaker24x7Linear99a3a827-ua/VIDEO_0_6596000.m3u8
TRT World HD,https://tv-trtworld.live.trt.com.tr/master.m3u8
ABC Australia HD,https://abc-iview-mediapackagestreams-2.akamaized.net/out/v1/6e1cc6d25ec0480ea099a5399d73bc4b/index.m3u8


$c_start 香港内置解码1$c_end
内置解码,#genre#
切换内置解码,
重启软件,
其他分类软解,
翡翠台,https://cdn.hkdtmb.com/hls/81/index.m3u8
翡翠台 (中英字幕),https://cdn.hkdtmb.com/hls/81b/index.m3u8
J2台,https://cdn.hkdtmb.com/hls/82/index.m3u8
無綫新聞台,https://cdn.hkdtmb.com/hls/83/index.m3u8
明珠台,https://cdn.hkdtmb.com/hls/84/index.m3u8
明珠台 (粵語聲道),https://cdn.hkdtmb.com/hls/84b/index.m3u8
無綫財經·資訊台,https://cdn.hkdtmb.com/hls/85/index.m3u8
ViuTV,https://cdn.hkdtmb.com/hls/99/index.m3u8
ViuTV Six,https://cdn.hkdtmb.com/hls/96/index.m3u8
港台電視31,https://cdn.hkdtmb.com/hls/31/index.m3u8
港台電視32,https://cdn.hkdtmb.com/hls/32/index.m3u8
港台電視33,https://cdn.hkdtmb.com/hls/33/index.m3u8
香港開電視,https://cdn.hkdtmb.com/hls/77/index.m3u8
香港國際財經台,https://cdn.hkdtmb.com/hls/76/index.m3u8
港台電視31,https://cdn.hkdtmb.com/raw/31.ts
港台電視32,https://cdn.hkdtmb.com/raw/32.ts
港台電視33,https://cdn.hkdtmb.com/raw/33.ts
香港開電視,https://cdn.hkdtmb.com/raw/77.ts
香港國際財經台,https://cdn.hkdtmb.com/raw/76.ts
翡翠台,https://cdn.hkdtmb.com/raw/81.ts
翡翠台 (中英字幕),https://cdn.hkdtmb.com/raw/81b.ts
